Peaks by prominence:
  prom    row    col   elev   crow   ccol  celev
--------------------------------------------------
  6444   5895   2687   6444     NA     NA     NA
  5343   2517    327   5430   3513   1870     87
  5265   3500   3157   5457   3505   3247    192
  3842   4977   2541   6010   5470   2456   2168
  3748   2995    971   3994   2797    608    246
  3587   3664   1979   3681   3717   2443     94
  3555   3775   3480   4624   3877   3311   1069
  3418   4021   3323   5140   4605   2881   1722
  2961   2517   3479   2961   2406   3260      0
  2801   2518    164   5189   2503    267   2388
  2682   4362   4151   2792   4446   3885    110
  2491   2597   3363   2532   2581   3377     41
  2453   4214   2961   5218   4653   2760   2765
  2446   1944     18   3435   2171      1    989
  2390   4195   2862   3915   4333   2828   1525
  2257   3591   4324   2398   3744   4181    141
  2189   4399   2796   3918   4509   2785   1729
  2181   3535   3986   2501   3588   3722    320
  2157   4156   4549   2646   4318   4352    489
  2147   4883   2587   5650   4878   2568   3503
  2103   4312   2817   3729   4264   2859   1626
  2087   5999   2863   4183   5979   2880   2096
  2083   2635   2810   2083   2577   2655      0
  2053   2855    456   3624   2835    409   1571
  2052   3560   3251   3499   3711   3189   1447
  2024   5935   3038   2273   5990   3002    249
  1997   5001   2590   5251   5048   2551   3254
  1985   4026   2865   3807   4157   2893   1822
  1970   2508     27   4451   2509    146   2481
  1943   2594   3116   2200   2602   3232    257
  1941   4701   4087   2493   4679   4113    552
  1940   3056   1358   2729   3054   1264    789
  1939   4450   2876   5160   4265   2931   3221
  1914   3011   1425   2631   3030   1445    717
  1912   4109   4056   2307   4051   4114    395
  1812   4657   4349   2026   4637   4315    214
  1811   2938   1014   3774   2966   1024   1963
  1797    533   1980   1932    125   1132    135
  1778   5197   2600   2803   5255   2557   1025
  1776   4797   2641   5527   4818   2633   3751
  1770   3604   1936   3299   3616   1919   1529
  1732   2402   2779   1732   2018   2154      0
  1702   4131   4170   2266   4244   4208    564
  1694   3189   1407   1985   3168   1400    291
  1692   2564   3417   2192   2538   3433    500
  1691   5565   2491   3947   5575   2524   2256
  1677   2493    236   4194   2473    238   2517
  1671   4355   3114   4030   4344   3105   2359
  1647   4515   2708   3651   4513   2753   2004
  1635   4797   1041   1635   4780   1035      0
  1627   4136   2880   3667   4096   2869   2040
  1624   2941    970   3357   2945    987   1733
  1616   3823   2724   1727   4180   2791    111
  1615   2229    104   2692   2260     81   1077
  1609   3065   1110   3381   3041   1104   1772
  1603   4912   1030   1624   4872   1077     21
  1589   4741   4159   2156   4688   4161    567
  1581   4591   4584   1731   4571   4559    150
  1580   3138   1243   2304   3114   1243    724
  1565   4451   3017   3494   4406   3044   1929
  1561   3060   1094   3677   3043   1087   2116
  1557   2811    503   2726   2816    493   1169
  1553   3050   1057   3246   3048   1051   1693
  1546   5524   2687   3810   5548   2664   2264
  1543   4151   4036   1948   4054   4034    405
  1535   3827   3087   2104   3962   3048    569
  1535   2938   1412   2081   2948   1376    546
  1528   4757   2598   4639   4785   2617   3111
  1519   4001   4051   1912   4049   4050    393
  1514   3276   1559   1593   3276   1614     79
  1489   2688     17   2892   2688     57   1403
  1482   2261     36   3056   2275     12   1574
  1479   2933   1574   2245   2962   1522    766
  1476   4859   2623   5499   4881   2595   4023
  1472   5410   2555   2674   5388   2562   1202
  1463   2741    434   3291   2604    283   1828
  1454   3877   2672   1625   3859   2717    171
  1452   2573    576   1523   2673    595     71
  1451   5884   2680   6111   5886   2689   4660
  1451   5464   2490   3853   5291   2495   2402
  1436   4252   4277   2292   4284   4241    856
  1435   4227   2820   2566   4230   2830   1131
  1433   4977   2586   4804   4987   2594   3371
  1430   4843   1017   1430   4831   1020      0
  1429   3657   3586   3447   3673   3569   2018
  1424   3948   2883   3610   3997   2882   2186
  1424   4617   4539   1616   4618   4556    192
  1423   3416   1725   1454   3408   1722     31
  1418   2789    666   2158   2838    735    740
  1395   4686   2653   4596   4723   2677   3201
  1388   3005   1551   2240   3078   1554    852
  1385   4328   3106   4095   4188   3159   2710
  1378   3074   1304   2577   3079   1333   1199
  1374   3169   1339   1977   3162   1336    603
  1372   4880   2554   4898   4889   2549   3526
  1370   4820   2567   4510   4854   2566   3140
  1367   5285   2415   2934   5274   2441   1567
  1365   4025   3186   3237   4054   3171   1872
  1365   4108   4504   2230   4139   4507    865
  1362   4152   4679   2378   4130   4549   1016
