Peaks by prominence:
  prom    row    col   elev   crow   ccol  celev
--------------------------------------------------
  6444   5895   2687   6444     NA     NA     NA
   157   3208   1483    619   3208   1482    462
   144   2703   4444    407   2704   4444    263
   123   2402   2779   1732   2401   2779   1609
   110   2635   2810   2083   2636   2810   1973
   109   2684   4411    645   2685   4411    536
   100   3564   4231    253   3565   4231    153
    89   2716   4463    891   2716   4462    802
    89   3023   4660   1210   3023   4659   1121
    88   4602    960    149   4602    958     61
    85   2587   4231    205   2587   4230    120
    82   2795   4538    767   2796   4539    685
    79   3289   4626    146   3289   4627     67
    77   3435   4425    137   3435   4424     60
    72   4730   1109    559   4731   1109    487
    69   4826   1106    869   4827   1106    800
    67   2831   1642    146   2831   1643     79
    66   2598   4199    186   2598   4198    120
    62   3137   4678    709   3138   4678    647
    58   2598   4206    373   2598   4204    315
    49   2600   4232    309   2600   4233    260
    49   4878   1160    790   4878   1161    741
    47   3899   2255    245   3899   2254    198
    46   4874   1120    388   4875   1120    342
    45   3481   4330    760   3480   4331    715
    44   3299   4627    184   3303   4626    140
    41   2582   4271    333   2583   4271    292
    39   3904   2131     58   3904   2130     19
    38   3240   4652    134   3237   4652     96
    37   2733   4481     96   2732   4483     59
    36   3883   2195     70   3883   2194     34
    36   3857   2185     77   3858   2185     41
    36   3298   4633     66   3298   4634     30
    34   2940   4632   1277   2940   4631   1243
    34   2547   3241    747   2547   3240    713
    34   2875   4600   1333   2874   4600   1299
    34   3201   1474     40   3200   1474      6
    32   4904   1106     48   4904   1107     16
    31   3028   4694     57   3029   4694     26
    31   4966   1236    174   4966   1235    143
    30   3199   2235    249   3198   2235    219
    29   3245   4664     52   3247   4663     23
    28   3341   4598    654   3341   4599    626
    27   3744   2458     47   3743   2458     20
    27   2840   1617    128   2843   1612    101
    27   4843   1017   1430   4842   1016   1403
    26   2629   4133    162   2629   4134    136
    26   3457   4351     36   3457   4352     10
    26   3324   4609     58   3324   4610     32
    25   4446   2617    203   4444   2618    178
    24   2596   4230     54   2596   4231     30
    24   4899   1190    190   4899   1191    166
    22   4320   2207     31   4320   2206      9
    22   2624   4165     29   2624   4166      7
    21   3447   4726    520   3447   4725    499
    21   3756   1934     84   3756   1933     63
    20   2652   4462    126   2653   4461    106
    20   3260   4656     23   3260   4657      3
    19   2848    619     75   2847    619     56
    19   2671   4219    230   2670   4219    211
    17   5884   2558     44   5885   2559     27
    17   4956   1145    407   4956   1147    390
    17   3766   2512     41   3765   2512     24
    16   2839    621     26   2839    620     10
    16   3827   2117     60   3828   2118     44
    16   3877   2205     78   3878   2205     62
    16   5156   2374    197   5156   2373    181
    15   2755   4577    280   2755   4576    265
    15   3517   4589    107   3517   4590     92
    15   3217   1474    325   3218   1474    310
    15   2594   3902     50   2595   3902     35
    15   2631   4434    302   2631   4433    287
    15   3746   2452    156   3745   2452    141
    14   4759   1144    262   4759   1143    248
    14   3791   2506     78   3791   2505     64
    14   2653   4017     20   2653   4018      6
    14    923   4231     47    927   4226     33
    13   2621   4011   1225   2621   4010   1212
    13   3843   2156     36   3846   2154     23
    13   4850   1115    222   4850   1114    209
    13   3391   4272     21   3393   4271      8
    13   3772   2449     32   3772   2448     19
    12   3514   4650    839   3513   4650    827
    12   2868   1572     26   2867   1572     14
    12   2823   1694    302   2823   1693    290
    12   2626   4442     14   2626   4441      2
    12   3383   4057     24   3382   4067     12
    12   3768   2447     51   3768   2448     39
    11   2831   1637     53   2832   1638     42
    11   3300   3607    129   3299   3607    118
    11   3830   2182     12   3831   2182      1
    11   2742   4489    714   2742   4490    703
    11   3320   3704    192   3320   3705    181
    10   3294   2193     60   3295   2193     50
    10   3317   3381     22   3316   3382     12
    10   3770   2516     28   3770   2517     18
    10   4907   1261    645   4907   1260    635
    10   2656   2753     46   2656   2754     36
    10   2195   2051    158   2195   2052    148
    10   1892   2955     46   1882   2948     36
